ticket_id,subject,description,category,priority,sentiment,environment,channel,region,assigned_team,customer_tier,resolution_time_hours,created_at
1,Rollback during upgrade,"During troubleshooting, we confirmed that the setup fails on one server while succeeding on another. The affected environment is disaster recovery, and a single administrator is affected. users can continue by using an alternate process. an important business process is delayed. no suspicious activity has been verified. Logs are available if needed.",Software Installation,Medium,Negative,Disaster Recovery,Chat,Asia Pacific,Platform Engineering,Premium,29,2024-11-06 14:25:00
2,Training material request,"Our support team observed that the customer is looking for guidance before making a change. The affected environment is development, and a small number of users are affected. no reliable workaround has been identified. the issue does not currently block normal work. The exact start time is not yet known. The customer is asking for recommended next steps.",General Inquiry,Low,Negative,Development,Email,Middle East,Technical Support,Enterprise,37,2024-02-29 15:20:00
3,Patch deployment issue,"During troubleshooting, we confirmed that a required package is not detected on the target server. The affected environment is production, and several users reported the behavior. the team has a temporary workaround. an important business process is delayed. the issue is currently considered operational. The customer is asking for recommended next steps.",Software Installation,High,Neutral,Production,Web Form,Europe,Application Support,Premium,16,2024-11-19 17:49:00
4,Certificate warning,"During troubleshooting, we confirmed that the account was used outside its typical pattern. The affected environment is staging, and several users reported the behavior. the team cannot currently bypass the issue. an important business process is delayed. the event could require incident response. Initial troubleshooting results are inconclusive.",Security,Critical,Very Negative,Staging,Chat,Middle East,Cybersecurity,Standard,4,2024-04-30 13:40:00
5,Installation failed since yesterday,"During troubleshooting, we confirmed that the setup fails on one server while succeeding on another. The affected environment is testing, and dozens of users are affected. the available workaround does not work consistently. the impact is manageable at the moment. The issue was seen before but resolved without a confirmed cause. No recent application change has been confirmed.",Software Installation,Medium,Very Negative,Testing,Chat,North America,Platform Engineering,Premium,55,2025-06-03 09:24:00
6,dns resolution issue,"We need help investigating. latency increased after a routing change. The affected environment is production, and several users reported the behavior. the team has a temporary workaround. the issue is disrupting part of normal operations. the issue is currently considered operational.",Network,Medium,Negative,Production,Web Form,Asia Pacific,Infrastructure Support,Standard,32,2024-02-05 07:16:00
7,Long database queries,"the application pauses when concurrent usage increases. The affected environment is production, and several users reported the behavior. users can continue by using an alternate process. the issue is disrupting part of normal operations. The customer is asking for recommended next steps.",Performance,High,Negative,Production,Phone,Middle East,Performance Engineering,Standard,10,2024-01-14 06:21:00
8,Client setup blocked,"The issue appears to be intermittent. the application installs but one service remains stopped. The affected environment is production, and a large user group is affected. users can continue by using an alternate process. a limited workflow is delayed. there is no confirmed security impact. A restart was attempted without a clear improvement.",Software Installation,High,Neutral,Production,Email,Asia Pacific,Application Support,Enterprise,12,2025-11-18 09:40:00
9,Login issue,"During troubleshooting, we confirmed that the push notification does not arrive consistently. The affected environment is disaster recovery, and a large user group is affected. a workaround is available but adds manual steps. a limited workflow is delayed. The team is still collecting additional details.",Authentication,High,Negative,Disaster Recovery,Chat,Europe,Identity Support,Standard,6,2025-04-26 10:21:00
10,permission missing,"The issue appears to be intermittent. the administrator is denied access to one section of the console. The affected environment is testing, and multiple teams are affected. no reliable workaround has been identified. several business activities are affected. the event could require incident response.",Account Access,Critical,Very Negative,Testing,Web Form,Asia Pacific,Access Management,Premium,6,2025-02-22 06:21:00
